//  x,      y,       z,  width, height, length, color,  type, exit
 3.75,      0,     -32,    6.9,   0.25,    100,     4,     1,    0 // Yellow
 2.25,   0.75,     -25,      3,      3,     10,    10,     2,    0 // Brown Tunnel
  5.5,   0.75,     -25,      3,      3,     10,    10,     2,    0 // Brown Tunnel
   -2,      1,     -100,     2,      1,     35,    10,     1,    0 // Brown
   11,      1,     -100,     4,      1,     35,    10,     1,    0 // Brown
 3.75,      0,     -265,   6.9,   0.25,    290,     4,     1,    0 // Yellow
    6,      1,   -302.5,    18,      1,     60,     6,     1,    0 // Purple
   -2,      2,     -280,     2,      1,     15,    10,     1,    0 // Brown
  2.5,      2,     -280,     3,      1,     15,    10,     1,    0 // Brown
  8.5,      2,     -280,     3,      1,     15,    10,     1,    0 // Brown
   14,      2,     -280,     2,      1,     15,    10,     1,    0 // Brown
    0,      2,     -295,     2,      1,     15,    10,     1,    0 // Brown
  5.5,      2,     -295,     3,      1,     15,    10,     1,    0 // Brown
 11.5,      2,     -295,     3,      1,     15,    10,     1,    0 // Brown
   -2,      2,     -310,     2,      1,     15,    10,     1,    0 // Brown
  8.5,      2,     -310,     3,      1,     15,    10,     1,    0 // Brown
   14,      2,     -310,     2,      1,     15,    10,     1,    0 // Brown
    0,      2,     -325,     2,      1,     15,    10,     1,    0 // Brown
 11.5,      2,     -325,     3,      1,     15,    10,     1,    0 // Brown
 3.75,      0,     -470,   6.9,   0.25,     40,     4,     1,    0 // Yellow
 3.75,    1.5,     -470,   6.9,      3,     40,    10,     1,    0 // Brown
 3.75,      4,     -505,   6.9,      3,     30,    10,     1,    0 // Brown
    9,      0,     -605,     3,   0.25,    220,     4,     1,    0 // Yellow
    9,    0.5,     -505,     3,      1,     20,    10,     1,    0 // Brown
 -3.5,      0,     -480,     3,   0.25,     60,     4,     1,    0 // Yellow
   12,      0,     -495,     3,   0.25,     90,     4,     1,    0 // Yellow
   15,      0,     -480,     3,   0.25,    150,     4,     1,    0 // Yellow
   12,      0,     -567,     3,   0.25,     25,     4,     1,    0 // Yellow
    0,      0,     -605,     3,   0.25,    220,     4,     1,    0 // Yellow
  4.5,      0,     -567,     6,   0.25,     25,     4,     1,    0 // Yellow
   -3,      0,     -567,     3,   0.25,     25,     4,     1,    0 // Yellow
  4.5,      0,     -660,     6,   0.25,     40,     4,     1,    0 // Yellow
   12,      0,     -635,     3,   0.25,     10,     4,     1,    0 // Yellow
   -3,      0,     -635,     3,   0.25,     10,     4,     1,    0 // Yellow
   15,      0,     -640,     3,   0.25,     20,     4,     1,    0 // Yellow
   -6,      0,     -640,     3,   0.25,     20,     4,     1,    0 // Yellow
  5.5,      0,     -950,    10,   0.25,    220,     4,     1,    0 // Yellow
 -4.5,      0,     -970,   3.5,   0.25,    200,     4,     1,    0 // Yellow
 15.5,      0,     -970,   3.5,   0.25,    200,     4,     1,    0 // Yellow
 -1.1,      0,     -970,  3.25,   0.25,    100,     4,     1,    0 // Yellow
 12.1,      0,     -970,  3.25,   0.25,    100,     4,     1,    0 // Yellow
  5.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
  2.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
 -0.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
 -3.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
 -3.5,   3.75,     -970,     3,      3,     40,    10,     1,    0 // Brown
  8.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
 11.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
 14.5,   0.75,     -970,     3,      3,     40,    10,     2,    0 // Brown Tunnel
 14.5,   3.75,     -970,     3,      3,     40,    10,     1,    0 // Brown
 0.75,      0,    -1160,     5,   0.25,     60,     7,     1,    0 // Pink
10.25,      0,    -1160,     5,   0.25,     60,     7,     1,    0 // Pink
  5.5,      0,    -1220,     5,   0.25,     60,     7,     1,    0 // Pink
  5.5,      0,    -1260,     2,   0.25,     20,     7,     1,    0 // Pink
  5.5,      0,    -1350,     2,   0.25,    100,     7,     1,    0 // Pink
  1.5,      0,    -1350,     6,   0.25,      6,     3,     1,    0 // Green
  1.5,   0.75,    -1350,     6,      1,      6,    10,     1,    0 // Brown
  9.5,      0,    -1350,     6,   0.25,      6,     3,     1,    0 // Green
  9.5,   1.25,    -1350,     6,      2,      6,    10,     1,    0 // Brown
  3.5,      0,    -1415,     2,   0.25,     90,     7,     1,    0 // Pink
  3.5,      0,    -1475,     2,   0.25,     20,     7,    1,    0 // Pink
  7.0,      0,    -1495,     3,   0.25,     20,     9,    1,    0 // Gray
 10.0,      0,    -1518,     3,   0.25,     26,     3,    1,    0 // Green
 10.0,      0,    -1550,     3,   0.25,     25,    13,    1,    0 // Violet
  6.5,      0,    -1575,     3,   0.25,     25,    13,    1,    0 // Violet
  3.0,      0,    -1600,     3,   0.25,     25,    13,    1,    0 // Violet
  0.0,      0,    -1625,     3,   0.25,     25,     3,    1,    0 // Green
  0.0,      0,    -1655,     3,   0.25,     35,     4,    1,    0 // Yellow
  0.0,   0.25,    -1655,     3,      3,     25,    10,    2,    0 // Brown Tunnel
  3.5,      0,    -1690,     3,   0.25,     25,     5,    1,    0 // Orange
  7.0,      0,    -1718,     3,   0.25,     25,     5,    1,    0 // Orange
 10.0,      0,    -1746,     3,   0.25,     25,     5,    1,    0 // Orange
  8.5,      0,    -1775,     5,   0.25,     30,     9,    1,    0 // Gray
  8.5,   0.75,    -1775,     3,      3,     20,     8,    2,    0 // White Tunnel
  8.5,    0.3,    -1784,   2.5,   1.75,    0.5,     8,    1,    1 // White Exit
