//  x,    y,       z, width, height, length, color, type, exit
  5.5,    0,     -30,    11,      1,     80,     9,    1,    0 // Gray
  1.5,    0,   -78.5,     4,      1,   12.5,    13,    1,    0 // Violet
  9.5,    0,   -78.5,     4,      1,   12.5,    13,    1,    0 // Violet
  1.5,    0,    -100,     4,      1,     25,     3,    1,    0 // Green
  9.5,    0,    -100,     4,      1,     25,     3,    1,    0 // Green
  5.5,    0,    -125,     4,      1,     25,     9,    1,    0 // Gray
  1.5,    0,    -150,     3,      1,     18,     2,    1,    0 // Red
  9.5,    0,    -150,     3,      1,     18,     2,    1,    0 // Red
  5.5,    0,    -175,     4,      1,     15,    10,    1,    0 // Brown
  5.5,    0,    -200,     4,      1,     35,     9,    1,    0 // Gray
  5.5,  0.7,    -200,     3,      3,     35,     8,    2,    0 // White Tunnel
  1.5,    0,    -240,     3,      1,     25,    13,    1,    0 // Violet
  9.5,    0,    -240,     3,      1,     25,    13,    1,    0 // Violet
  5.5,    0,    -265,     5,      1,     15,     4,    1,    0 // Yellow
  5.5,    1,    -285,     5,      1,     20,     7,    1,    0 // Pink
  1.5,    1,    -310,     3,      1,     20,    13,    1,    0 // Violet
  9.5,    1,    -310,     3,      1,     20,    13,    1,    0 // Violet
  5.5,    1,    -333,     4,      1,     15,     9,    1,    0 // Gray
  5.5,    1,    -360,     4,      1,     40,    11,    1,    0 // Dark Green
  5.5,  1.7,    -360,     3,      3,     40,    11,    2,    0 // Dark Green Tunnel
  5.5,    1,    -405,     6,      1,     20,     9,    1,    0 // Gray
  2.0,    1,    -430,     3,      1,     25,     5,    1,    0 // Orange
  9.0,    1,    -455,     3,      1,     25,     5,    1,    0 // Orange
  2.0,    1,    -480,     3,      1,     20,     5,    1,    0 // Orange
  9.0,    1,    -480,     3,      1,     20,     5,    1,    0 // Orange
  5.5,    1,    -505,     5,      1,     20,     9,    1,    0 // Gray
  5.5,    0,    -530,     3,      1,     15,     2,    1,    0 // Red
  1.5,    0,    -550,     3,      1,     23,     3,    1,    0 // Green
  9.5,    0,    -550,     3,      1,     23,     3,    1,    0 // Green
  5.5,    0,    -585,     6,      1,     45,     9,    1,    0 // Gray
  5.5,    0,    -635,     4,      1,     35,     5,    1,    0 // Orange
  5.5,  0.7,    -635,     3,      3,     35,     5,    2,    0 // Orange Tunnel
  2.0,    0,    -675,     3,      1,     20,    13,    1,    0 // Violet
  9.0,    0,    -675,     3,      1,     20,    13,    1,    0 // Violet
  2.0,    1,    -700,     3,      1,     20,     7,    1,    0 // Pink
  9.0,    1,    -700,     3,      1,     20,     7,    1,    0 // Pink
  5.5,    1,    -720,     4,      1,     15,     4,    1,    0 // Yellow
  5.5,    1,    -745,     4,      1,     35,     9,    1,    0 // Gray
  5.5,  1.7,    -745,     3,      3,     35,     8,    2,    0 // White Tunnel
  5.5,    1,    -785,     7,      1,     25,    12,    1,    0 // Brown
  5.5,  1.4,    -815,     5,      1,     35,     3,    1,    0 // Green
  5.5, 1.72,    -820,     3,      3,     30,     4,    2,    0 // Yellow Tunnel
  5.5,  1.7,    -830,   2.5,   1.75,    0.5,     8,    1,    1 // White Exit
