//  x,     y,      z, width, height, length, color, type, exit
  5.5,  -0.5,      0,    11,      1,     45,     9,    1,    0 // Gray
  4.0,  -0.2,    -55,     7,      1,     30,    13,    1,    0 // Violet
  1.5,   0.2,    -90,     4,      1,     25,     3,    1,    0 // Green
 -1.0,   0.6,   -120,     3,      1,     35,    13,    1,    0 // Violet
  3.0,   0.6,   -120,     3,      1,     35,    13,    1,    0 // Violet
  8.0,   0.6,   -120,     3,      1,     35,    13,    1,    0 // Violet
 11.0,   0.6,   -120,     3,      1,     35,    13,    1,    0 // Violet
  0.5,   1.0,   -165,     4,      1,     30,     2,    1,    0 // Red
  4.5,   1.0,   -165,     3,      1,     30,    10,    1,    0 // Brown
 -1.0,   1.5,   -205,     3,      1,     45,     9,    1,    0 // Gray
 -1.0,   2.2,   -205,     3,      3,     35,     8,    2,    0 // White Tunnel
  1.0,   1.0,   -255,     4,      1,     25,     4,    1,    0 // Yellow
  4.0,   0.3,   -285,     4,      1,     30,     7,    1,    0 // Pink
  5.5,  -0.3,   -325,     5,      1,     35,     9,    1,    0 // Gray
  5.5,   0.4,   -325,     3,      3,     25,    11,    2,    0 // Dark Green Tunnel
  2.0,   0.4,   -370,     3,      1,     35,    13,    1,    0 // Violet
  9.0,   0.4,   -370,     3,      1,     35,    13,    1,    0 // Violet
  2.0,   0.9,   -410,     3,      1,     30,     5,    1,    0 // Orange
  9.0,   0.9,   -410,     3,      1,     30,     5,    1,    0 // Orange
  5.5,   1.5,   -450,     6,      1,     25,     4,    1,    0 // Yellow
  5.5,   2.0,   -490,     5,      1,     45,     9,    1,    0 // Gray
  5.5,   2.7,   -490,     3,      3,     35,     8,    2,    0 // White Tunnel
  7.0,   1.5,   -540,     4,      1,     25,     3,    1,    0 // Green
  9.0,   0.9,   -570,     4,      1,     30,    13,    1,    0 // Violet
 11.0,   0.3,   -610,     3,      1,     35,     9,    1,    0 // Gray
 11.0,   1.0,   -610,     3,      3,     25,    10,    2,    0 // Brown Tunnel
  9.5,  -0.2,   -655,     4,      1,     25,     4,    1,    0 // Yellow
 11.0,  -0.5,   -690,     3,      1,     30,     7,    1,    0 // Pink
 11.0,   0.0,   -730,     3,      1,     40,     9,    1,    0 // Gray
  5.5,   0.6,   -775,     7,      1,     30,     9,    1,    0 // Gray
  9.0,   1.1,   -820,     4,      1,     30,    13,    1,    0 // Violet
  7.5,   1.6,   -860,     4,      1,     30,     3,    1,    0 // Green
  6.0,   2.1,   -900,     5,      1,     35,     9,    1,    0 // Gray
  6.0,   2.8,   -900,     3,      3,     25,    13,    2,    0 // Violet Tunnel
  2.0,   2.4,   -945,     3,      1,     25,     2,    1,    0 // Red
  9.0,   2.4,   -945,     3,      1,     25,     2,    1,    0 // Red
  1.5,   2.0,   -980,     3,      1,     30,    10,    1,    0 // Brown
  9.5,   2.0,   -980,     3,      1,     30,    10,    1,    0 // Brown
  1.5,   2.6,  -1020,     3,      1,     35,    13,    1,    0 // Violet
  9.5,   2.6,  -1020,     3,      1,     35,    13,    1,    0 // Violet
  5.5,   1.8,  -1065,     3,      1,     25,     4,    1,    0 // Yellow
  5.5,   1.1,  -1100,     3,      1,     30,     7,    1,    0 // Pink
  5.5,   0.5,  -1140,     4,      1,     45,     9,    1,    0 // Gray
  5.5,   1.2,  -1140,     3,      3,     35,    11,    2,    0 // Dark Green Tunnel
  4.0,   0.0,  -1190,     4,      1,     30,    13,    1,    0 // Violet
  2.5,  -0.5,  -1230,     4,      1,     35,     3,    1,    0 // Green
  1.0,   0.0,  -1275,     3,      1,     40,     9,    1,    0 // Gray
  1.0,   0.7,  -1275,     3,      3,     30,     8,    2,    0 // White Tunnel
  3.0,   0.5,  -1320,     3,      1,     25,     5,    1,    0 // Orange
  7.0,   1.2,  -1350,     3,      1,     25,     5,    1,    0 // Orange
 10.0,   1.9,  -1380,     3,      1,     25,     5,    1,    0 // Orange
 10.0,   2.6,  -1420,     4,      1,     45,     9,    1,    0 // Gray
 10.0,   3.3,  -1420,     3,      3,     35,     8,    2,    0 // White Tunnel
  8.0,   2.5,  -1470,     5,      1,     30,     3,    1,    0 // Green
  7.0,   1.8,  -1515,     4,      1,     30,     7,    1,    0 // Pink
  5.5,   1.1,  -1555,     5,      1,     35,     4,    1,    0 // Yellow
  5.5,   1.8,  -1600,     6,      1,     50,     9,    1,    0 // Gray
  5.5,   2.5,  -1600,     3,      3,     40,    13,    2,    0 // Violet Tunnel
  4.0,   1.5,  -1655,     4,      1,     25,    10,    1,    0 // Brown
  2.5,   0.8,  -1690,     4,      1,     30,     9,    1,    0 // Gray
  0.5,   0.1,  -1730,     3,      1,     35,    13,    1,    0 // Violet
 -0.5,  -0.3,  -1775,     3,      1,     30,     3,    1,    0 // Green
 11.5,  -0.3,  -1775,     3,      1,     30,     3,    1,    0 // Green
  1.5,   0.2,  -1815,     3,      1,     30,     2,    1,    0 // Red
  9.5,   0.2,  -1815,     3,      1,     30,     2,    1,    0 // Red
  5.5,   0.8,  -1855,     5,      1,     30,     9,    1,    0 // Gray
  5.5,   1.5,  -1895,     6,      1,     45,     9,    1,    0 // Gray
  5.5,   2.2,  -1895,     3,      3,     35,     7,    2,    0 // Pink Tunnel
  4.0,   1.8,  -1945,     4,      1,     30,     4,    1,    0 // Yellow
  6.5,   2.5,  -1980,     4,      1,     30,     7,    1,    0 // Pink
  8.5,   3.2,  -2020,     4,      1,     35,     3,    1,    0 // Green
  9.5,   3.8,  -2065,     5,      1,     40,     9,    1,    0 // Gray
  9.5,   4.5,  -2065,     3,      3,     30,    11,    2,    0 // Dark Green Tunnel
  8.0,   4.0,  -2110,     4,      1,     30,    13,    1,    0 // Violet
  6.5,   3.5,  -2150,     4,      1,     30,    10,    1,    0 // Brown
  5.5,   4.0,  -2190,     5,      1,     35,     9,    1,    0 // Gray
  5.5,   4.7,  -2190,     3,      3,     25,     8,    2,    0 // White Tunnel
  5.5,   4.3,  -2235,     7,      1,     35,    12,    1,    0 // Brown
  5.5,   4.6,  -2280,     7,      1,     40,     9,    1,    0 // Gray
  5.5,   5.1,  -2290,     3,      3,     30,     4,    2,    0 // Yellow Tunnel
  5.5,   5.0,  -2300,   2.5,   1.75,    0.5,     8,    1,    1 // White Exit
