//  x,      y,       z, width, height, length, color, type, exit
  5.5,      0,       0,    11,      1,    100,     9,    1,    0 // Gray
  1.5,      0,     -75,     4,      1,     20,    13,    1,    0 // Violet
  9.5,      0,     -75,     4,      1,     20,    13,    1,    0 // Violet
  1.5,      0,    -100,     4,      1,     25,     3,    1,    0 // Green
  9.5,      0,    -100,     4,      1,     25,     3,    1,    0 // Green
  5.5,      0,    -130,     5,      1,     20,     9,    1,    0 // Gray
  2,        0,    -160,     3,      1,     25,     5,    1,    0 // Orange
  9,        0,    -185,     3,      1,     25,     5,    1,    0 // Orange
  2,        0,    -215,     3,      1,     20,     5,    1,    0 // Orange
  9,        0,    -215,     3,      1,     20,     5,    1,    0 // Orange
  5.5,      0,    -240,     5,      1,     20,     4,    1,    0 // Yellow
  5.5,      0,    -270,     4,      1,     35,     9,    1,    0 // Gray
  5.5,    0.7,    -270,     3,      3,     30,     8,    2,    0 // White Tunnel
  5.5,      0,    -315,     6,      1,     25,     9,    1,    0 // Gray
  3,        0,    -345,     3,      1,     25,    13,    1,    0 // Violet
  8,        0,    -345,     3,      1,     25,    13,    1,    0 // Violet
  3,      0.3,    -380,     3,      1,     30,     3,    1,    0 // Green
  8,      0.8,    -420,     3,      1,     30,     7,    1,    0 // Pink
  5.5,    1.3,    -460,     4,      1,     25,     4,    1,    0 // Yellow
  3,      1.8,    -495,     3,      1,     25,    13,    1,    0 // Violet
  8,      2.3,    -525,     3,      1,     25,    13,    1,    0 // Violet
  5.5,    2.3,    -555,     5,      1,     25,     9,    1,    0 // Gray
  1.5,      2,    -590,     3,      1,     30,     2,    1,    0 // Red
  9.5,      2,    -625,     3,      1,     30,     2,    1,    0 // Red
  1.5,      2,    -660,     3,      1,     25,     3,    1,    0 // Green
  9.5,      2,    -690,     3,      1,     25,     3,    1,    0 // Green
  5.5,      2,    -720,     5,      1,     20,     9,    1,    0 // Gray
  5.5,      2,    -750,     4,      1,     40,     9,    1,    0 // Gray
  2,        2,    -795,     3,      1,     25,     5,    1,    0 // Orange
  9,        2,    -820,     3,      1,     25,     5,    1,    0 // Orange
  2,        2,    -845,     3,      1,     20,     5,    1,    0 // Orange
  9,        2,    -845,     3,      1,     20,     5,    1,    0 // Orange
  5.5,      2,    -875,     4,      1,     30,     9,    1,    0 // Gray
  2.5,   2.75,    -910,     3,      3,     35,    10,    2,    0 // Brown Tunnel
  8.5,   2.75,    -910,     3,      3,     35,    10,    2,    0 // Brown Tunnel
  5.5,      2,    -910,     3,      1,     35,    10,    1,    0 // Brown
  2.5,   5.75,    -910,     3,      3,     35,    10,    1,    0 // Brown
  8.5,   5.75,    -910,     3,      3,     35,    10,    1,    0 // Brown
  9,      2.5,    -955,     3,      1,     30,    13,    1,    0 // Violet
  6.5,      2,    -995,     3,      1,     30,     7,    1,    0 // Pink
  4,      1.5,   -1035,     3,      1,     30,     4,    1,    0 // Yellow
  1.5,      1,   -1075,     3,      1,     30,    13,    1,    0 // Violet
  1.5,      1,   -1110,     4,      1,     30,     9,    1,    0 // Gray
  1.5,    1.7,   -1140,     3,      3,     30,    11,    2,    0 // Dark Green Tunnel
  9.5,    1.7,   -1140,     3,      3,     30,    11,    2,    0 // Dark Green Tunnel
  5.5,      1,   -1140,     3,      1,     30,     9,    1,    0 // Gray
  5.5,      1,   -1180,     6,      1,     30,     9,    1,    0 // Gray
  5.5,    1.7,   -1180,     3,      3,     30,     8,    2,    0 // White Tunnel
  3.5,      1,   -1220,   2.5,      1,     35,     5,    1,    0 // Orange
  7.5,      1,   -1220,   2.5,      1,     35,     5,    1,    0 // Orange
  5.5,      1,   -1260,   3.5,      1,     35,     9,    1,    0 // Gray
  5.5,      1,   -1300,     3,      3,     25,     4,    2,    0 // Yellow Tunnel
  5.5,      1,   -1330,   3.5,      1,     35,     9,    1,    0 // Gray
  5.5,    1.2,   -1355,     7,      1,     40,     9,    1,    0 // Gray
  5.5,    1.7,   -1365,     3,      3,     25,     4,    2,    0 // Yellow Tunnel
  5.5,   2.05,   -1380,   2.5,    1.5,    0.5,     8,    1,    1 // White Exit
