//  x,      y,       z, width,   height, length,  color, type, exit
  5.5,    0.0,      -5,    11,     0.25,    100,      9,    1,    0 // Gray
  1.5,    0.0,     -82,     3,     0.25,     25,      9,    1,    0 // Gray
  9.5,    0.0,     -82,     3,     0.25,     25,      9,    1,    0 // Gray
 -1.0,    0.0,    -112,     3,     0.25,     25,      9,    1,    0 // Gray
 12.0,    0.0,    -112,     3,     0.25,     25,      9,    1,    0 // Gray
  1.5,    0.0,    -142,     3,     0.25,     18,      2,    1,    0 // Red
  9.5,    0.0,    -142,     3,     0.25,     18,      2,    1,    0 // Red
  5.5,    0.0,    -165,     4,     0.25,     28,     10,    1,    0 // Brown
  1.5,    0.5,    -195,     4,     0.25,     30,     13,    1,    0 // Violet
  9.5,    0.5,    -195,     4,     0.25,     30,     13,    1,    0 // Violet
  5.5,    1.2,    -232,     4,     0.25,     25,     13,    1,    0 // Violet
  1.5,    2.0,    -265,     3,     0.25,     25,     13,    1,    0 // Violet
  8.5,    2.7,    -298,     3,     0.25,     25,     13,    1,    0 // Violet
  5.5,    2.7,    -330,     4,     0.25,     20,      3,    1,    0 // Green
  5.5,    3.4,    -355,     4,     0.25,     25,     13,    1,    0 // Violet
  5.5,    3.4,    -382,     4,     0.25,     18,      9,    1,    0 // Gray
  3.5,    4.1,    -382,     3,        3,     18,      2,    2,    0 // Red Tunnel
  7.5,    4.1,    -382,     3,        3,     18,      2,    2,    0 // Red Tunnel
  5.5,    3.4,    -410,     4,     0.25,     25,      9,    1,    0 // Gray
  5.5,    2.5,    -445,     2.25,  0.25,     55,     11,    1,    0 // Dark Green
 3.25,    2.5,    -500,     2.25,  0.25,     45,      9,    1,    0 // Gray
 7.75,    2.5,    -500,     2.25,  0.25,     45,      9,    1,    0 // Gray
  1.0,    2.0,    -550,     2.25,  0.25,     45,     11,    1,    0 // Dark Green
 10.0,    2.0,    -550,     2.25,  0.25,     45,     11,    1,    0 // Dark Green
  5.5,    1.5,    -605,     2.25,  0.25,     40,      4,    1,    0 // Yellow
  1.5,    1.0,    -645,     4,     0.25,     25,     13,    1,    0 // Violet
  7.5,    1.8,    -675,     3,     0.25,     25,     13,    1,    0 // Violet
 10.0,    2.5,    -705,     3,     0.25,     25,     14,    1,    0 // Lime
  7.5,    3.2,    -735,     4,     0.25,     25,     13,    1,    0 // Violet
  4.5,    2.5,    -765,     4,     0.25,     25,      3,    1,    0 // Green
  4.5,    1.7,    -795,     4,     0.25,     25,     13,    1,    0 // Violet
  5.5,    1.0,    -825,     4,     0.25,     30,      9,    1,    0 // Gray
  5.5,    1.7,    -825,     3,        3,     25,     11,    2,    0 // Dark Green Tunnel
  5.5,    1.0,    -865,     4,     0.25,     30,      9,    1,    0 // Gray
  2.0,    0.5,    -905,     3,     0.25,     25,      5,    1,    0 // Orange
  9.0,    0.5,    -905,     3,     0.25,     25,      5,    1,    0 // Orange
  5.5,    1.2,    -935,     5,     0.25,     25,      9,    1,    0 // Gray
  5.5,    2.0,    -970,     4,     0.25,     30,     13,    1,    0 // Violet
  8.5,    2.7,   -1005,     4,     0.25,     25,      3,    1,    0 // Green
  8.5,    3.4,   -1035,     4,     0.25,     30,     13,    1,    0 // Violet
  6.0,    2.7,   -1070,     4,     0.25,     25,      9,    1,    0 // Gray
  5.5,    2.0,   -1105,     7,        1,     45,      9,    1,    0 // Gray
  5.5,    2.7,   -1105,     3,        3,     30,      8,    2,    0 // White Tunnel
  5.5,    3.05,  -1120,     2.5,    1.5,    0.5,      8,    1,    1 // White Exit
